"Year","Accidents","Fatalities","FatalAccidents","Departures","AccidentRate","State"
2008,3,0,0,0,null,
2008,1,0,0,43484,22.996964400699106,"BGD"
2008,1,0,0,10344,96.67440061871616,"CMR"
2008,1,0,0,8582,116.52295502213936,"ARM"
2008,3,2,1,202200,14.836795252225519,"COL"
2008,1,0,0,63442,15.762428675010245,"PAK"
2008,1,0,0,4101,243.84296513045598,"MWI"
2008,1,0,0,7414,134.87995683841382,"GEO"
2008,3,0,0,101942,29.42849855800357,"IRN"
2008,1,65,1,8389,119.20371915603766,"KGZ"
2008,2,88,1,465672,4.294868491126802,"RUS"
2008,1,0,0,30619,32.6594598125347,"MMR"
2008,1,0,0,66353,15.070908625081007,"ROU"
2008,1,0,0,210548,4.74951080038756,"MYS"
2008,1,0,0,49252,20.303744010395516,"NGA"
2008,1,0,0,224979,4.4448592979789225,"THA"
2008,3,1,1,609771,4.919879758138711,"AUS"
2008,2,0,0,54388,36.7728175332794,"KEN"
2008,5,65,2,9858,507.20227226617976,"COD"
2008,3,0,0,796352,3.7671783331993893,"JPN"
2008,2,0,0,644215,3.104553603998665,"BRA"
2008,3,0,0,173630,17.27812014052871,"PHL"
2008,2,0,0,660694,3.0271199677914433,"ITA"
2008,1,0,0,200499,4.987556047661085,"ZAF"
2008,1,5,1,39079,25.589191125668517,"HND"
2008,2,3,1,64835,30.847536053057762,"ECU"
2008,7,0,0,1007473,6.948077020426354,"DEU"
2008,1,0,0,2145,466.2004662004662,"TGO"
2008,1,0,0,35720,27.99552071668533,"BOL"
2008,2,1,1,564037,3.5458666718672713,"MEX"
2008,1,154,1,888303,1.125742004698847,"ESP"
2008,6,60,2,104435,57.4520036386269,"VEN"
2008,1,0,0,672277,1.4874820944342881,"IND"
2008,1,7,1,1477,677.0480704129993,"IRQ"
2008,1,19,1,1233,811.0300081103001,"SUR"
2008,3,0,0,762745,3.93316245927538,"FRA"
2008,7,0,0,1078821,6.488564831422451,"CAN"
2008,1,0,0,3922,254.97195308516064,"RWA"
2008,1,0,0,41787,23.93088759662096,"DZA"
2008,10,0,0,1100275,9.088636931676172,"GBR"
2008,30,2,2,10044230,2.986789430349564,"USA"
2008,3,44,3,18813,159.46420028703557,"SDN"
2008,2,0,0,120482,16.599990040005977,"BEL"
2008,1,0,0,15631,63.97543343356151,"MDV"
2008,3,0,0,319805,9.38071637404043,"NOR"
2008,1,3,1,2528,395.56962025316454,"SOM"
2008,1,0,0,150753,6.633367163505867,"SAU"
2008,3,0,0,1868500,1.6055659620016056,"CHN"
2008,5,4,2,359247,13.918000707034436,"IDN"
2009,1,6,1,8453,118.3011948420679,"COG"
2009,1,0,0,111021,9.007304924293603,"ARG"
2009,1,0,0,101858,9.817589192797817,"EGY"
2009,1,0,0,627929,1.592536735841154,"ITA"
2009,1,0,0,100794,9.921225469770025,"VNM"
2009,1,0,0,170457,5.866582187883161,"SAU"
2009,1,0,0,9573,104.46046171524078,"URY"
2009,1,1,1,4991,200.3606491685033,"RWA"
2009,1,0,0,61543,16.24880165087825,"MAR"
2009,1,0,0,26661,37.50797044371929,"MMR"
2009,3,228,1,0,null,
2009,2,6,1,187241,10.681421269914175,"ARE"
2009,3,3,1,2098729,1.429436578043187,"CHN"
2009,1,0,0,132321,7.5573794031181745,"PRT"
2009,1,152,1,2427,412.0313143798929,"COM"
2009,1,0,0,8195,122.02562538133007,"ZWE"
2009,3,0,0,54991,54.55438162608427,"BOL"
2009,1,11,1,8769,114.03808872163303,"UGA"
2009,1,0,0,22292,44.859142293199355,"UZB"
2009,1,0,0,409011,2.444922019212197,"RUS"
2009,2,3,1,7810,256.0819462227913,"COD"
2009,1,0,0,197333,5.067576127662377,"ZAF"
2009,2,0,0,590106,3.3892215974757076,"AUS"
2009,4,0,0,1018726,3.926472869054093,"CAN"
2009,1,0,0,111142,8.997498695362689,"IRL"
2009,6,187,2,113642,52.79738124989001,"IRN"
2009,2,0,0,19969,100.1552406229656,"SDN"
2009,6,0,0,934940,6.417524119194814,"DEU"
2009,2,0,0,493165,4.055437835207283,"MEX"
2009,2,0,0,622710,3.2117679176502705,"IND"
2009,4,0,0,1009733,3.961443272627516,"GBR"
2009,6,6,1,326938,18.352103456924553,"IDN"
2009,1,0,0,58251,17.167087260304545,"PAK"
2009,1,0,0,303598,3.29382934011423,"NOR"
2009,1,2,1,56283,17.767354263276655,"KEN"
2009,1,0,0,712776,1.4029653074738768,"FRA"
2009,5,24,1,673226,7.426926470457172,"BRA"
2009,6,2,1,781346,7.679056397549869,"JPN"
2009,1,0,0,5272,189.6813353566009,"HTI"
2009,1,0,0,225669,4.431268805196992,"MYS"
2009,4,4,1,200022,19.997800241973383,"PHL"
2009,22,50,1,9360689,2.3502543455935774,"USA"
2009,1,1,1,208876,4.787529443306076,"THA"
2009,1,0,0,38357,26.070860599108375,"KWT"
2009,2,0,0,222509,8.988400469194504,"TUR"
2009,1,9,1,202594,4.935980335054345,"NLD"
2009,1,0,0,265796,3.7622838567924273,"KOR"
2009,1,0,0,1428,700.2801120448179,"SUR"
2009,1,0,0,18845,53.06447333510215,"JAM"
2010,1,14,1,73355,13.632335900756594,"NPL"
2010,1,90,1,28216,35.44088460447973,"LBN"
2010,1,17,1,84390,11.849745230477545,"VEN"
2010,1,0,0,2893,345.66194262011754,"TKM"
2010,1,0,0,189125,5.287508261731659,"SAU"
